"","Father_A","Father_B","Father_C","Mother_A","Mother_B","Mother_C","D21_A","D21_B","D21_C","T21_A","T21_B","T21_C"
"NM_052847",421,261,962,390,248,221,482,191,344,548,264,348
"NM_032482",1894,1239,4392,1663,1009,1010,1683,731,1130,2851,997,2090
"NM_001144762",0,0,1,1,0,1,3,0,3,1,2,0
"NM_001144761",1,0,1,0,0,1,0,0,3,0,3,0
"NM_001300846",1,0,1,3,0,1,4,0,3,1,3,0
"NM_002378",28,29,38,13,12,9,19,21,17,32,29,39
"NM_001300849",402,420,1314,298,359,192,453,241,300,476,287,388
"NM_205843",796,188,1642,697,192,423,623,60,327,913,98,728
"NM_005597",759,198,1603,658,198,403,593,69,316,895,118,691
"NM_001172673",1,2,4,1,2,2,1,0,0,3,0,1
"NM_001317990",472,379,1427,361,298,296,454,281,293,627,273,613
"NM_001245005",774,184,1606,675,184,411,612,57,316,889,98,697
"NM_001245004",795,203,1625,680,200,414,625,69,320,923,118,710
"NM_021938",2,2,3,1,1,2,1,0,0,2,0,1
"NM_012398",842,638,2658,656,490,426,997,357,592,1112,410,839
"NM_001245002",817,207,1661,702,208,426,636,72,331,947,118,741
"NM_015898",479,374,1432,356,295,298,450,272,300,623,285,619
"NR_033342",0,0,3,0,1,0,1,0,0,0,0,1
"NM_001195733",824,628,2629,645,487,418,949,353,580,1104,408,836
"NM_015015",1920,2103,4320,1524,1635,850,1485,1317,1082,2409,1767,1889
"NR_158699",1011,1036,2097,1125,986,566,701,529,398,1202,672,898
"NM_017720",92,277,295,101,366,80,53,81,37,110,275,106
"NM_025241",436,1268,1270,371,1055,209,473,860,296,620,1108,507
"NM_001013841",80,253,284,93,328,73,47,70,29,91,260,94
"NM_001164194",921,2141,2595,538,1216,279,938,1262,647,1020,1512,782
"NM_005817",1032,2407,2712,606,1402,309,1041,1450,710,1122,1732,864
"NM_001365987",491,499,1041,512,469,264,307,246,204,527,287,414
"NM_139159",998,980,2071,1094,927,546,695,503,390,1166,635,877
"NM_001164189",938,2154,2612,562,1257,277,970,1299,641,1039,1527,795
"NM_001370093",525,602,1339,350,431,251,367,357,337,611,514,580
"NM_001370094",514,591,1314,345,425,246,352,357,330,586,512,564
"NM_001289179",0,0,0,1,0,0,0,0,3,2,1,0
"NM_001289178",0,0,0,1,0,0,0,3,3,2,2,0
"NM_134433",91,73,182,76,93,42,51,37,22,144,75,109
"NM_001320571",1463,1103,2707,1179,1151,594,1331,668,693,1743,934,1123
"NM_001201338",1866,1459,3236,1501,1556,767,1745,879,850,2200,1279,1446
"NM_001289180",0,0,0,1,0,0,0,3,3,2,2,0
"NM_002967",1829,1407,3206,1475,1527,759,1722,858,839,2161,1246,1428
"NM_001201339",1828,1425,3206,1482,1509,750,1719,863,842,2166,1232,1420
"NM_000635",98,77,207,80,101,47,51,37,22,151,76,115
"NM_001193375",128,708,640,98,723,80,48,318,45,157,834,132
"NM_175614",469,1428,998,378,1481,201,392,777,177,623,1656,450
"NM_001289177",0,0,0,1,0,0,0,3,3,2,2,0
"NM_001321384",0,0,0,1,0,0,0,3,3,2,2,0
"NM_001320572",1791,1373,3176,1456,1480,742,1696,842,831,2127,1199,1402
"NM_152784",0,3,10,2,6,0,3,0,0,0,1,1
"NR_034166",490,1653,1050,381,1656,205,422,882,182,646,1949,490
"NM_001201340",1537,1161,2797,1241,1253,636,1391,708,725,1831,1007,1171
"NM_030924",0,0,0,1,0,0,0,3,3,2,2,0
"NM_001366299",2372,2039,4653,1764,1778,903,2321,1232,1174,3487,1711,2273
"NM_001044387",432,565,977,340,715,184,459,433,214,495,677,424
"NM_001044388",423,564,961,340,727,182,472,426,216,498,647,432
"NM_005428",1024,1466,1660,675,1891,433,864,881,338,1221,1651,810
"NM_003685",1753,1714,3667,1246,1488,652,1699,1022,850,2618,1417,1689
"NM_001366300",1722,1646,3603,1224,1419,639,1683,962,842,2561,1352,1656
"NM_000208",1172,954,2540,2482,1957,949,1288,755,728,2397,1283,1708
"NM_024341",442,609,993,354,757,190,477,456,220,515,707,447
"NM_000064",61,25,147,49,36,26,41,12,28,46,6,56
"NM_001258207",885,1263,1528,550,1622,376,782,763,304,1061,1410,700
"NM_001079817",1170,952,2535,2476,1954,949,1285,754,726,2392,1283,1706
"NM_001258206",956,1300,1581,629,1695,398,808,786,303,1115,1497,749
"NM_001419",1487,1248,2375,1168,1330,621,1349,738,613,2058,1229,1368
"NM_001080429",93,98,264,20,16,8,67,31,28,39,31,39
"NM_145245",185,401,561,229,361,128,194,193,104,330,322,262
"NM_001321431",1,1,9,0,0,1,1,0,0,0,1,0
"NM_001367824",926,1331,1874,620,1595,470,834,1038,494,1066,1529,936
"NM_001159944",188,401,561,230,361,129,194,195,104,330,327,263
"NM_015318",895,1242,1811,595,1485,454,793,974,476,1005,1433,904
"NM_001367823",967,1363,1964,664,1773,497,940,1200,516,1062,1522,998
"NM_001130955",891,1202,1805,590,1445,451,800,971,474,984,1382,891
"NM_024552",470,785,942,395,903,225,357,467,209,403,665,345
"NM_032447",1,1,9,0,0,1,1,0,0,0,1,1
"NM_020902",91,97,264,20,16,8,67,30,28,38,31,39
"NM_024690",5,0,22,1,3,0,4,0,0,7,1,3
"NM_198535",244,201,739,288,206,71,256,136,148,344,187,242
"NM_003331",2526,3081,4969,1981,3747,1156,2044,1676,920,3144,3314,2210
"NM_018381",888,894,1898,471,717,271,642,440,246,898,736,660
"NR_146444",14,8,27,33,15,8,29,8,9,34,8,16
"NR_146445",14,8,27,33,15,8,29,8,9,33,8,16
"NR_146446",14,8,26,33,15,8,29,8,9,33,8,15
"NM_001321411",484,670,1407,314,482,174,482,443,318,453,527,420
"NM_001008727",1422,1070,3789,1747,1627,405,1725,952,1021,1702,1364,1472
"NM_001308277",772,717,1772,397,583,225,555,371,220,802,584,566
"NM_015719",4,3,20,9,7,2,10,2,5,38,17,21
"NM_001308269",1434,1074,3844,1768,1677,413,1750,966,1039,1735,1410,1505
"NM_004230",867,1030,1907,653,1020,378,980,690,582,1118,747,642
"NM_031917",533,742,1515,353,536,195,522,511,365,487,589,479
"NM_001128844",1731,1256,2895,2008,2067,1411,1657,890,1049,2207,1079,1558
"NM_004945",1627,2492,3799,1420,2903,828,1509,1733,793,2040,2445,1680
"NM_001128847",1708,1230,2876,1993,2040,1389,1623,873,1028,2178,1075,1540
"NM_001128849",1746,1258,2921,2029,2076,1427,1686,893,1052,2229,1084,1575
"NM_199141",1454,1229,2858,1318,1023,734,1229,696,652,2110,1133,1632
"NM_001128848",1609,1144,2787,1883,1915,1300,1546,809,966,2037,1003,1457
"NM_001128846",1625,1155,2807,1904,1934,1321,1577,822,970,2049,1015,1471
"NM_003072",1717,1254,2883,2008,2058,1396,1657,887,1040,2197,1079,1552
"NM_001161616",4,3,11,1,0,0,0,0,4,1,0,0
"NM_001145056",1839,1619,3105,928,1092,469,1191,739,630,2060,1170,1127
"NM_001190716",1625,2436,3834,1436,2855,811,1506,1696,808,2028,2422,1674
"NM_001005361",1629,2451,3820,1399,2854,840,1488,1645,821,2027,2397,1701
"NM_001128845",1671,1195,2836,1958,2000,1349,1606,860,997,2107,1054,1502
"NM_001035223",4,3,11,1,0,0,0,0,4,1,0,0
"NM_001005360",1683,2530,3904,1489,2936,841,1539,1746,831,2092,2514,1726
"NM_001005362",1572,2415,3716,1337,2823,830,1459,1634,787,1975,2334,1660
"NM_001370088",1399,1215,2806,1269,994,693,1167,669,619,2007,1056,1544
"NM_001370089",1342,1128,2748,1218,934,670,1126,605,586,1888,945,1499
"NM_144566",452,323,1520,605,384,223,657,264,335,472,374,566
"NM_003437",253,230,841,313,209,89,384,169,236,310,261,343
"NM_001271848",477,364,1563,640,428,232,692,295,356,503,405,582
"NM_001348013",229,213,815,296,184,85,376,149,227,302,238,334
"NM_001348014",271,236,861,329,229,95,401,179,246,331,274,363
"NM_001363608",159,138,588,173,166,77,198,118,134,155,145,155
"NM_145276",184,158,650,213,184,83,231,141,167,179,169,193
"NM_001351761",251,474,486,200,498,111,225,306,110,301,499,229
"NM_001142554",281,500,498,219,519,122,255,357,110,310,523,249
"NM_017722",271,491,498,215,516,122,237,326,112,326,526,241
"NM_001351762",287,527,517,224,520,126,254,351,108,313,523,248
"NM_001127221",22,5,46,23,13,21,13,7,5,11,13,37
"NM_001174080",22,5,46,24,13,22,13,7,5,13,13,37
"NM_014975",21,28,44,16,9,1,28,19,16,26,8,21
"NM_000068",22,5,46,24,13,22,13,7,5,13,13,37
"NM_001127222",22,5,50,24,15,23,13,7,5,13,15,40
"NM_001351760",279,496,497,214,507,119,242,352,109,302,520,243
"NM_023035",22,5,50,24,15,23,13,7,5,13,15,40
"NM_001136035",309,560,530,236,568,132,270,385,122,347,590,276
"NM_001136195",1636,1127,3250,1143,1044,679,1425,558,751,1979,809,1369
"NM_001136196",1560,1027,3197,1111,914,651,1358,516,724,1914,723,1301
"NM_013433",1536,1016,3185,1084,890,639,1343,506,720,1892,718,1284
"NM_030818",210,425,586,179,351,98,213,205,128,271,362,228
"NM_001320561",212,381,589,175,308,96,206,179,127,251,342,230
"NM_001320567",218,380,625,195,329,113,235,190,128,259,330,260
"NM_001320564",210,373,581,174,306,96,206,177,124,251,326,229
"NM_001345846",8,10,19,5,11,4,16,6,3,14,9,2
"NM_001345847",6,7,17,5,10,3,16,6,3,14,9,2
"NM_001320569",172,293,508,141,227,82,176,134,95,209,243,183
"NM_001345844",6,12,20,5,13,3,16,7,5,20,12,7
"NM_001345848",3,13,15,3,8,2,10,2,5,6,3,4
"NR_045214",55,37,163,28,30,23,39,32,26,42,26,59
"NR_038103",256,396,664,198,454,122,291,265,129,350,400,271
"NR_038104",257,399,667,201,456,122,291,267,129,350,402,272
"NM_024323",6,6,18,5,8,3,6,7,4,17,11,5
"NM_001320565",201,370,578,171,299,96,206,176,121,244,320,228
"NR_046366",668,1763,1121,376,1799,302,590,998,208,783,1497,601
"NM_001321170",256,385,655,197,434,121,282,259,125,339,381,262
"NM_005804",823,2271,1278,543,2366,377,800,1324,258,1026,2003,787
"NM_001345843",8,15,22,5,14,4,16,7,5,20,12,7
"NM_014921",9,6,36,11,9,8,11,8,3,20,11,23
"NM_001008701",9,6,36,11,9,8,11,8,3,20,11,23
"NM_001320568",228,439,633,204,386,115,245,219,135,286,375,262
"NM_001320566",228,387,628,199,339,113,238,191,131,266,339,262
"NM_138501",254,379,650,194,433,118,281,257,125,335,378,259
"NM_012377",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001370485",0,1,2,2,0,0,0,1,0,1,0,0
"NM_032207",133,108,244,54,62,52,153,64,93,113,55,91
"NM_001258374",760,426,1660,528,341,280,685,247,406,726,305,585
"NR_047665",725,421,1613,497,329,272,652,245,389,699,300,556
"NR_047666",723,339,1586,494,261,252,622,199,369,678,225,571
"NM_001302493",0,0,0,0,0,0,0,0,0,0,0,0
"NM_005370",1324,1711,2141,911,1798,497,1264,927,488,1827,1615,1228
"NM_001258375",728,408,1610,499,315,265,623,227,397,700,280,590
"NM_021235",762,414,1661,538,325,274,675,231,414,735,287,622
"NM_001288834",117,100,202,43,59,46,130,56,69,90,57,84
"NM_024656",541,707,1037,598,841,286,493,445,301,737,619,591
"NM_015692",2,2,8,0,3,0,0,3,5,3,0,2
"NM_004145",6919,6473,17551,5387,5682,2741,6739,4186,4268,8316,5885,7152
"NM_001130065",6972,6509,17605,5410,5744,2756,6781,4224,4297,8355,5945,7183
"NM_024527",127,299,313,71,187,53,90,165,71,146,221,106
"NM_001098482",82,39,156,43,37,33,45,36,52,90,31,87
"NM_001098818",30,28,115,4,8,3,4,3,14,28,28,59
"NM_000923",29,24,112,4,8,3,3,2,14,28,27,59
"NM_001300927",1107,1562,2828,789,1396,452,1248,824,722,1281,1290,1023
"NM_001308366",1141,1645,2930,820,1459,469,1248,906,744,1307,1368,1040
"NM_001330172",29,24,112,4,8,3,3,2,14,28,27,59
"NM_015321",81,39,151,41,37,31,45,34,51,87,31,85
"NM_006532",563,631,1058,335,466,179,440,334,229,704,551,432
"NM_017712",1191,1788,3000,856,1578,492,1352,968,789,1390,1468,1097
"NM_001098819",31,29,123,4,9,3,4,2,16,35,29,60
"NM_001329471",80,204,340,54,145,34,84,108,40,79,181,64
"NM_001329476",41,78,206,13,61,14,37,36,14,38,60,28
"NM_002248",150,295,317,106,185,56,72,66,19,149,194,96
"NM_001290024",287,346,407,191,565,107,161,233,67,317,532,295
"NM_001369701",30,26,112,4,8,3,3,3,14,27,28,59
"NM_001329477",1145,1615,2911,824,1449,476,1314,887,772,1348,1332,1067
"NM_001329478",1199,1798,3009,859,1586,493,1358,974,804,1402,1472,1104
"NR_138029",1148,1653,2939,823,1464,470,1254,912,759,1317,1370,1045
"NM_001352071",2641,1716,6191,2716,2010,1114,2634,1032,1743,3203,1682,2882
"NM_001300946",1353,1421,2552,1146,1325,582,1261,681,568,1744,1030,1170
"NM_017660",1281,1328,2483,1060,1229,556,1176,613,526,1644,974,1091
"NM_001359631",1225,1274,2425,1046,1192,537,1158,612,528,1586,923,1069
"NM_020410",1011,1036,2002,564,921,417,771,585,352,1219,934,981
"NM_001321698",2009,1446,4707,2055,1695,821,1961,856,1254,2511,1448,2137
"NM_001321699",2656,1714,6197,2704,2009,1119,2631,1027,1750,3219,1680,2888
"NM_001190328",32,28,93,38,8,12,22,15,22,55,24,57
"NM_001355194",20,26,40,13,28,11,16,11,12,34,19,20
"NM_001256766",105,220,300,73,144,49,91,93,60,102,156,116
"NM_001321697",2000,1448,4701,2069,1697,819,1964,862,1250,2505,1450,2143
"NM_014884",2040,1504,4737,2090,1755,846,1984,900,1283,2537,1493,2160
"NM_001001524",0,0,0,0,0,0,0,0,0,0,1,0
"NM_198537",51,33,125,57,13,16,24,24,30,70,32,66
"NM_001017392",2681,1772,6227,2737,2068,1141,2654,1070,1776,3235,1725,2899
"NM_017814",145,326,376,105,257,69,101,199,92,137,248,172
"NR_147913",2207,1612,5203,2281,1880,908,2178,943,1391,2719,1578,2369
"NR_147914",2111,1553,4896,2174,1821,865,2055,924,1327,2603,1545,2241
"NR_147915",2660,1752,6284,2738,2045,1123,2651,1046,1772,3222,1722,2916
"NM_052852",103,70,308,87,94,19,160,92,92,154,186,119
"NM_001355241",188,109,461,185,147,44,270,110,85,245,129,188
"NM_001355237",91,98,372,149,118,35,165,91,86,173,82,204
"NM_001355239",124,88,357,135,109,31,179,78,55,176,96,129
"NM_182515",402,194,1044,775,509,130,1049,365,615,741,489,772
"NM_001351670",288,168,1070,556,329,80,646,212,327,421,278,521
"NM_001351671",267,166,1061,552,309,82,647,215,317,396,270,533
"NM_001351672",254,150,1031,525,297,76,620,197,298,377,262,509
"NR_117086",204,110,553,356,217,59,500,175,282,360,264,392
"NR_117087",203,114,569,373,232,59,514,185,281,365,304,402
"NR_117088",41,29,74,79,51,9,70,37,45,59,73,59
"NM_001355240",68,75,175,83,81,22,85,71,30,100,62,64
"NR_037194",0,0,0,4,0,2,10,1,2,1,0,0
"NM_173531",313,202,1130,613,371,89,709,252,365,452,301,558
"NM_001351669",303,187,1099,593,354,85,675,236,354,440,287,542
"NM_001098626",4,17,27,4,11,3,7,6,4,13,9,4
"NR_146735",0,2,7,2,5,1,2,1,1,1,3,0
"NR_146734",8,9,22,3,17,6,0,3,1,4,7,2
"NR_146733",0,3,7,24,32,23,0,3,0,1,3,2
"NR_110759",15,2,10,0,0,0,0,0,1,4,4,1
"NR_027318",0,0,0,0,0,0,0,0,0,0,0,0
"NM_003796",912,898,2293,1070,1108,223,1465,858,656,1301,1149,1000
"NR_045557",867,840,2232,1029,1031,220,1427,811,621,1231,1075,960
"NM_001252641",605,586,1720,732,706,159,1118,535,437,846,724,725
"NR_138035",0,0,2,0,0,0,2,0,0,0,0,0
"NR_147209",0,0,0,0,0,0,0,0,0,0,0,0
"NM_020856",0,0,1,1,0,0,1,0,0,0,0,1
"NR_138036",0,0,2,0,0,0,2,0,0,0,0,0
"NR_138034",0,0,1,0,0,0,1,0,0,0,0,0
"NM_001278577",0,0,0,0,0,0,0,0,0,0,0,0
"NM_014910",613,454,1667,794,424,95,823,294,403,806,510,740
"NM_001136156",643,469,1712,813,437,100,854,304,423,842,540,780
"NM_001278575",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001278576",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001278578",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000285",187,363,316,163,451,89,138,211,44,238,420,186
"NM_001110822",0,0,6,4,2,0,0,1,0,3,2,1
"NM_173479",0,0,2,4,0,2,2,2,0,2,1,1
"NM_001366102",76,47,157,29,7,5,34,11,9,84,61,52
"NM_001166057",131,265,268,120,315,69,108,160,35,178,297,143
"NM_001166056",117,272,255,121,315,69,70,146,39,174,273,142
"NM_033103",59,64,113,34,43,15,72,57,38,121,114,134
"NM_032816",258,179,524,218,186,91,228,133,176,241,232,242
"NM_032139",1136,1247,2143,1007,1452,453,999,810,491,1327,1291,924
"NR_135565",0,0,2,4,0,2,2,2,0,3,1,1
"NM_014686",537,354,1231,429,344,210,569,296,300,523,323,457
"NM_022467",0,0,0,0,0,0,0,0,0,0,2,0
"NM_015578",1763,1018,3549,1767,1277,566,2295,906,931,2189,1075,1645
"NM_001127896",0,0,0,0,0,0,0,1,0,0,2,0
"NM_001114093",1908,1093,3741,1864,1322,587,2400,936,1009,2334,1176,1764
"NM_001127895",0,0,0,0,0,0,0,1,0,0,2,0
"NM_001260489",292,187,547,361,262,173,189,108,97,367,207,328
"NM_015925",322,198,584,405,303,194,204,118,104,394,220,358
"NM_001320036",867,1172,2023,892,1001,413,798,585,499,1315,927,922
"NM_001260490",236,144,489,289,215,132,159,87,65,281,152,272
"NM_139284",0,2,0,0,0,0,0,0,2,0,3,0
"NM_205835",280,168,527,347,244,153,184,94,81,318,183,310
"NM_205834",334,203,596,409,313,202,207,120,104,403,236,363
"NM_001321351",345,327,1208,437,308,82,487,217,288,484,327,427
"NM_052948",112,45,272,71,68,39,107,50,92,124,47,135
"NM_001172630",113,41,292,72,51,39,104,42,92,120,38,137
"NM_152658",43,60,112,30,51,23,34,34,11,40,37,47
"NM_001331102",35,37,104,23,27,18,26,23,9,30,29,33
"NM_001331103",42,55,102,27,48,22,32,27,11,34,38,40
"NM_001331104",39,54,100,27,46,22,32,24,7,34,35,39
"NR_138539",30,44,92,20,37,16,32,20,8,25,30,34
"NM_020951",316,275,1149,409,262,79,438,186,264,439,266,397
"NM_001145649",308,222,1139,389,234,73,447,152,267,430,221,402
"NM_001145650",286,200,1067,377,211,69,438,143,257,411,215,384
"NM_001290056",30,33,88,30,30,18,30,24,10,27,43,35
"NM_001347907",26,31,73,23,32,9,28,22,7,20,34,28
"NM_001366178",121,47,302,84,69,43,120,51,107,140,48,154
"NM_001352272",379,334,1264,460,311,87,550,232,307,508,345,466
"NM_001352273",338,241,1185,430,247,78,523,178,290,472,260,430
"NM_001329761",408,414,877,318,329,136,484,166,225,472,312,347
"NM_001329766",442,433,1015,335,326,151,511,188,238,503,336,371
"NM_001329765",477,474,1064,356,342,156,519,198,262,523,346,395
"NM_001329522",64,97,260,87,115,25,87,89,64,66,101,106
"NM_001329524",75,99,266,89,112,28,102,89,67,66,106,107
"NM_001321992",138,113,389,129,124,30,160,89,77,141,134,144
"NM_001345947",273,137,718,258,174,94,378,113,204,326,176,253
"NM_001329516",62,87,305,107,125,19,114,78,69,71,131,117
"NM_001329521",85,119,330,120,149,28,137,106,81,82,156,128
"NR_138122",398,401,858,303,315,136,459,157,216,457,300,346
"NR_138121",447,447,932,355,348,155,524,186,248,514,359,391
"NR_138127",351,376,769,278,288,127,412,151,187,420,279,300
"NR_138126",411,404,885,318,318,144,467,157,223,470,303,364
"NR_138125",359,380,799,291,291,128,435,155,194,425,281,302
"NR_138124",400,404,863,313,316,142,465,155,217,464,303,357
"NR_138129",406,413,854,319,317,150,465,168,231,487,329,362
"NR_138128",427,440,877,328,339,148,498,182,234,502,352,371
"NR_138123",399,410,832,307,313,144,462,169,224,482,326,344
"NR_138114",413,413,871,318,328,143,469,161,225,479,311,363
"NR_138113",392,401,841,301,315,136,462,156,210,458,300,340
"NR_138112",450,452,994,334,335,150,490,189,235,495,322,388
"NR_138111",484,472,1058,356,341,163,504,193,262,531,338,411
"NM_144689",98,150,387,178,200,32,191,145,89,139,213,204
"NM_001242802",110,81,259,94,91,26,157,64,47,127,101,135
"NM_001242801",114,88,271,84,102,25,164,68,43,122,121,131
"NM_001242800",94,76,237,81,91,21,143,59,39,112,102,130
"NM_001204838",52,49,154,39,33,12,30,6,13,38,43,26
"NM_001204839",40,24,96,25,22,8,27,3,11,28,33,14
"NM_001329517",109,155,395,182,204,35,208,146,92,144,221,207
"NM_001329518",93,128,331,158,169,28,190,105,79,127,200,184
"NM_001329519",97,127,378,173,177,29,200,119,83,134,200,197
"NM_001329520",82,124,330,154,169,25,175,105,76,124,197,183
"NM_001345949",182,129,482,164,109,65,210,84,113,190,129,141
"NM_001300993",147,120,413,142,126,30,172,97,82,146,138,152
"NR_138120",446,419,940,356,337,149,527,166,231,495,315,379
"NR_138119",388,405,826,310,311,139,466,166,213,465,309,328
"NR_138118",380,401,796,297,305,138,443,162,206,460,307,326
"NR_138117",395,407,828,315,309,148,456,162,212,479,310,346
"NR_138116",436,443,899,340,341,154,501,181,241,508,355,389
"NR_138115",376,386,831,309,294,138,448,155,200,444,284,321
"NM_001321991",145,117,395,133,123,33,162,97,78,145,135,147
"NM_001321993",156,132,416,139,137,40,170,105,88,150,146,155
"NM_001321994",139,114,391,132,125,33,161,90,78,143,134,148
"NM_144694",153,131,414,136,136,36,169,104,86,148,146,151
"NM_001329775",401,412,915,297,315,135,471,180,208,457,314,351
"NR_138108",432,439,963,316,312,149,448,187,232,477,308,353
"NR_138110",440,443,993,329,315,150,471,191,239,481,313,355
"NR_138109",436,446,967,319,332,142,482,189,228,482,319,369
"NR_138104",395,416,895,296,304,134,429,182,205,436,292,329
"NR_138103",436,408,943,329,311,156,483,162,231,492,307,383
"NR_138107",403,420,925,309,307,135,452,186,212,440,297,331
"NR_138106",411,422,927,314,307,144,442,182,211,455,295,348
"NR_138105",445,449,989,331,333,148,485,188,235,488,322,386
"NM_001329774",431,446,962,316,330,140,477,188,228,475,319,368
"NM_001329762",431,444,905,339,344,147,516,186,241,501,356,372
"NM_001329763",457,468,989,338,349,147,501,195,244,510,336,395
"NM_001329764",399,410,844,303,325,135,461,161,218,466,308,345
"NM_001329767",469,469,1031,341,338,155,496,193,255,518,335,393
"NM_001329772",466,455,949,367,367,153,555,194,248,527,379,392
"NM_001329771",439,451,995,331,334,141,500,193,235,480,330,370
"NM_001329770",441,437,993,326,324,146,475,194,241,482,317,364
"NM_001329769",394,410,827,304,313,142,457,168,224,475,326,343
"NM_001329768",402,414,860,319,320,143,480,173,231,480,328,345
"NM_001329515",74,117,324,118,152,25,122,106,78,82,152,127
"NR_138130",436,444,910,343,346,149,521,187,241,508,356,373
"NM_001329779",371,401,797,299,300,134,446,159,211,443,335,347
"NM_001329778",429,421,871,330,333,148,495,173,231,501,333,363
"NM_001329777",457,451,916,352,360,152,532,189,241,521,374,390
"NM_001329776",387,401,836,298,313,134,457,155,210,451,300,339
"NM_001329773",396,405,869,313,317,135,480,160,217,457,303,341
"NM_206894",117,87,302,104,106,27,168,66,58,149,119,159
"NM_001345948",279,139,720,263,177,95,383,114,207,329,176,257
"NM_001353804",111,64,156,74,50,29,105,29,56,115,80,93
"NM_001353803",422,440,872,324,337,146,493,181,234,495,352,370
"NM_181786",494,460,930,365,366,162,535,188,256,539,385,413
"NR_138039",129,43,228,104,46,47,115,43,62,112,46,99
"NM_174905",67,121,209,44,101,35,88,90,53,85,115,65
"NM_021102",213,459,538,251,441,59,195,188,40,593,733,202
"NM_001351675",30,67,103,15,55,13,29,41,28,21,68,38
"NM_000540",18,20,84,3,3,2,22,30,17,12,4,4
"NM_004924",2327,2217,4693,2075,2937,1037,1979,1503,954,3651,2505,2358
"NM_015073",1785,1045,3500,1175,909,632,1345,534,816,1908,734,1230
"NM_001166103",148,314,435,182,295,46,159,107,28,431,469,159
"NM_001042723",18,20,84,3,3,2,22,30,17,12,4,4
"NM_001322033",1898,1809,4174,1662,2354,823,1591,1215,755,2984,1975,1967
"NM_001319990",1785,2137,4128,1449,1832,691,1726,1096,987,2277,1664,1547
"NM_001319991",1698,1847,3962,1364,1620,642,1603,980,947,2146,1495,1459
"NM_001130825",1734,1944,4065,1392,1669,661,1635,1006,971,2185,1533,1498
"NM_017827",171,393,448,148,392,81,179,308,96,220,270,169
"NM_001145901",147,344,430,114,329,78,153,245,78,198,209,137
"NM_001130824",1785,2144,4130,1449,1834,691,1726,1097,991,2279,1672,1547
"NM_003169",1873,2316,4300,1505,1927,730,1787,1153,1026,2376,1756,1620
"NM_001111020",1824,2253,4228,1483,1883,709,1758,1124,1014,2328,1720,1587
"NM_001243028",1670,2265,3826,1122,1966,596,1433,1340,789,1874,2019,1464
"NM_001243027",1725,2316,3915,1159,2011,612,1486,1366,814,1961,2078,1510
"NM_006503",720,1401,1449,514,1413,305,650,656,245,1042,1349,631
"NM_001291311",585,944,1426,438,776,243,608,549,344,801,721,587
"NM_001330511",1401,2014,3557,909,1573,516,1185,1126,660,1591,1725,1258
"NM_020971",15,24,89,8,9,2,39,24,20,27,25,12
"NM_001626",1814,2513,4080,1194,2193,643,1576,1461,858,2092,2254,1607
"NM_012268",600,1123,1455,446,899,258,620,622,352,831,838,618
"NM_001031696",548,794,1379,421,713,227,577,477,329,743,606,542
"NM_004596",948,1714,1856,690,984,404,900,614,528,953,852,800
"NM_153001",590,1022,1279,438,1017,241,519,469,190,826,1001,508
"NM_001301016",3367,1979,6279,2427,1910,1427,3059,1130,1445,4248,1760,2872
"NM_001321211",3359,1967,6269,2425,1884,1421,3054,1128,1437,4238,1734,2867
"NM_000709",664,1669,1902,257,752,131,567,822,318,666,1104,526
"NM_001321208",3462,2101,6493,2492,2016,1462,3111,1217,1484,4359,1786,2956
"NM_007040",3645,2243,6665,2635,2173,1536,3323,1325,1572,4607,1900,3121
"NM_144732",3345,1973,6255,2400,1888,1424,3042,1132,1431,4231,1703,2861
"NM_001291485",0,1,0,0,0,0,0,0,0,0,0,0
"NM_001288773",205,110,274,126,156,47,284,168,117,185,106,124
"NM_001164783",581,1455,1781,234,642,123,499,706,279,597,979,471
"NM_006890",0,1,0,0,0,0,0,0,0,0,0,0
"NR_073052",121,261,344,89,242,46,134,155,67,162,225,107
"NR_073047",143,348,387,106,284,66,145,204,72,186,269,117
"NM_001270615",154,421,483,120,349,64,166,242,89,207,337,145
"NR_073046",150,351,393,105,293,67,151,210,72,189,285,122
"NR_073048",144,350,391,105,289,65,149,209,72,189,282,118
"NM_001410",527,503,1231,416,417,210,378,270,262,611,362,481
"NM_021016",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001330519",209,256,558,190,209,108,206,185,119,281,214,240
"NR_073180",8,14,9,2,6,2,11,8,5,18,7,10
"NR_073179",13,17,16,3,5,6,29,10,22,20,8,28
"NM_001270614",167,430,485,130,362,75,173,258,92,206,332,139
"NM_001271938",572,525,1283,442,432,215,386,281,282,637,392,497
"NR_073051",152,354,400,106,298,66,170,211,76,193,290,119
"NR_073050",130,311,371,94,257,54,127,184,71,174,257,115
"NR_073049",144,350,392,105,290,65,155,210,73,189,286,119
"NM_133328",177,477,503,136,402,78,188,286,96,227,379,152
"NM_001320867",235,394,588,120,243,71,217,219,139,297,401,277
"NM_001320868",175,295,511,73,171,53,168,158,109,209,266,205
"NM_001320869",143,231,415,59,142,45,157,93,75,168,195,164
"NM_001301709",0,0,1,0,0,0,0,0,0,0,2,0
