"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Row.names.y","X","Chr","Start","End","Strand","Length","chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","len","tssstart","tssend","bodystart","bodyend","controlgenes","controlgenes18","controlgenes19","controlgenes20","controlgenes21","controlgenes21shuffle","V2"
"5473","NM_001303508",168.737517128256,-0.539630797251985,0.304974326203303,-1.76943024670298,0.0768221017296533,0.335609093644338,"NM_001303508",69915,"chr22;chr22;chr22;chr22;chr22","35066158;35066752;35082518;35084383;35085454","35066462;35067316;35082669;35084499;35087387","+;+;+;+;+",3073,"chr22",35066157,35087387,"NM_001303508",0,"+",35067087,35085693,0,5,"305,565,152,117,1934,","0,594,16360,18225,19296,",21230,35065657,35066657,35067157,35086887,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ISX"
"5532","NM_001304564",1315.10346471563,0.195417241693749,0.240494726812126,0.81256351972494,0.416468354295901,0.75703187905297,"NM_001304564",70112,"chr22;chr22;chr22;chr22;chr22;chr22;chr22","39500100;39504203;39511288;39511849;39512232;39513517;39515230","39500257;39504534;39511438;39512026;39512494;39514224;39518134","+;+;+;+;+;+;+",4695,"chr22",39500099,39518134,"NM_001304564",0,"+",39511294,39515373,0,7,"158,332,151,178,263,708,2905,","0,4103,11188,11749,12132,13417,15130,",18035,39499599,39500599,39501099,39517634,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"MIEF1"
"5548","NM_001304795",154.253142097343,0.159603064041908,0.297669196675769,0.536175949088049,0.591836953950719,0.856591413138012,"NM_001304795",69808,"chr22;chr22;chr22","30652051;30663404;30667462","30652297;30664080;30667875","-;-;-",1338,"chr22",30652050,30667875,"NM_001304795",0,"-",30663436,30664003,0,3,"247,677,414,","0,11353,15411,",15825,30667375,30668375,30652550,30666875,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"DUSP18"
"5549","NM_001304797",629.629821452241,0.0231303615013107,0.239439424842273,0.0966021427613578,0.92304235477838,0.975855338345084,"NM_001304797",69267,"chr22;chr22;chr22;chr22","41800622;41808875;41809879;41825698","41800766;41808993;41810000;41826299","+;+;+;+",988,"chr22",41800621,41826299,"NM_001304797",0,"+",41808890,41825823,0,4,"145,119,122,602,","0,8253,9257,25076,",25678,41800121,41801121,41801621,41825799,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"CCDC134"
"5550","NM_001304809",1832.21097935335,-0.329636486344812,0.192548933074296,-1.71196215466756,0.0869036430725256,0.360675842417488,"NM_001304809",69325,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","49773278;49775591;49776050;49777034;49777678;49787390;49794034;49797805;49798558;49798988;49804204;49822951;49825730","49774416;49775745;49776159;49777161;49777813;49787494;49794294;49798117;49798686;49799119;49804360;49824331;49825900","-;-;-;-;-;-;-;-;-;-;-;-;-",4317,"chr22",49773277,49825900,"NM_001304809",0,"-",49774232,49824317,0,13,"1139,155,110,128,136,105,261,313,129,132,157,1381,171,","0,2313,2772,3756,4400,14112,20756,24527,25280,25710,30926,49673,52452,",52623,49825400,49826400,49773777,49824900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"BRD1"
"5688","NM_001308491",29.0724316077575,0.451608390629724,0.397852975921904,1.13511376805278,0.256327653570076,0.623101228506876,"NM_001308491",68797,"chr21;chr21","42917251;42925346","42919291;42925598","-;-",2294,"chr21",42917250,42925598,"NM_001308491",0,"-",42918523,42919006,0,2,"2041,253,","0,8095,",8348,42925098,42926098,42917750,42924598,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"ERVH48-1"
"5730","NM_001314026",212.633348806067,0.919842757307947,0.210660687966676,4.36646612230497,1.26272862241739e-05,0.000389521724236594,"NM_001314026",68908,"chr21;chr21;chr21","46286330;46286870;46291334","46286737;46287123;46292521","+;+;+",1850,"chr21",46286329,46292521,"NM_001314026",0,"+",46286913,46291489,0,3,"408,254,1188,","0,540,5004,",6192,46285829,46286829,46287329,46292021,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"YBEY"
"5765","NM_001317009",924.402545460626,-0.349036557880003,0.195078664801354,-1.78920928249854,0.0735811173035885,0.326869963406326,"NM_001317009",68664,"chr21;chr21;chr21;chr21;chr21;chr21;chr21","34668994;34706027;34707280;34707944;34708700;34709357;34716321","34670762;34706080;34707389;34708069;34708806;34709538;34718223","+;+;+;+;+;+;+",4251,"chr21",34668993,34718223,"NM_001317009",0,"+",34669388,34716482,0,7,"1769,54,110,126,107,182,1903,","0,37033,38286,38950,39706,40363,47327,",49230,34668493,34669493,34669993,34717723,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"CLIC6"
"5795","NM_001317742",72.4455095485754,0.568657745143456,0.278632538198873,2.0408877901316,0.0412619817145764,0.231316754538864,"NM_001317742",68258,"chr21;chr21;chr21;chr21;chr21;chr21;chr21","39445865;39462375;39475135;39499823;39508998;39511680;39515088","39445892;39462560;39475215;39499915;39509027;39511809;39515506","+;+;+;+;+;+;+",967,"chr21",39445864,39515506,"NM_001317742",0,"+",39462473,39511775,0,7,"28,186,81,93,30,130,419,","0,16510,29270,53958,63133,65815,69223,",69642,39445364,39446364,39446864,39515006,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"SH3BGR"
"5816","NM_001317930",1665.77745917098,0.178690535027178,0.195751680245343,0.912842918146188,0.36132516245761,0.714054402264465,"NM_001317930",69270,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","41244779;41249330;41249729;41251007;41252872;41254308;41256021;41256191;41256711;41257948;41261446;41264664;41268097;41274600;41280933;41302033","41246672;41249451;41249817;41251109;41252991;41254494;41256105;41256290;41256824;41258106;41261580;41264843;41268156;41274727;41281082;41302369","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",3963,"chr22",41244778,41302369,"NM_001317930",0,"-",41246602,41281044,0,16,"1894,122,89,103,120,187,85,100,114,159,135,180,60,128,150,337,","0,4551,4950,6228,8093,9529,11242,11412,11932,13169,16667,19885,23318,29821,36154,57254,",57591,41301869,41302869,41245278,41301369,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"RANGAP1"
"5832","NM_001318024",1094.22342843563,0.111528332794925,0.238449208740922,0.467723643889721,0.63998223057593,0.875904581949671,"NM_001318024",69991,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","37282508;37292602;37294660;37295999;37297564;37299226;37300907;37303254;37309212;37310988;37311456;37312020;37313439","37282588;37292703;37294724;37296065;37297682;37299306;37301019;37303402;37309323;37311064;37311527;37312174;37315341","+;+;+;+;+;+;+;+;+;+;+;+;+",3096,"chr22",37282507,37315341,"NM_001318024",0,"+",37296002,37313511,0,13,"81,102,65,67,119,81,113,149,112,77,72,155,1903,","0,10094,12152,13491,15056,16718,18399,20746,26704,28480,28948,29512,30931,",32834,37282007,37283007,37283507,37314841,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"CYTH4"
"5847","NM_001318103",16.2795079291071,-1.37500213190066,0.597807430993242,-2.30007534301827,0.0214439519241308,0.150147463452223,"NM_001318103",69829,"chr22;chr22;chr22","30554635;30557262;30574466","30556093;30557401;30574665","-;-;-",1799,"chr22",30554634,30574665,"NM_001318103",0,"-",30554952,30557392,0,3,"1459,140,200,","0,2627,19831,",20031,30574165,30575165,30555134,30573665,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"GAL3ST1"
"5851","NM_001318129",328.79645951102,-0.019790357408329,0.246540843747685,-0.0802721249245942,0.936020827741774,0.978242068743104,"NM_001318129",69132,"chr22;chr22;chr22;chr22;chr22;chr22","29730956;29738330;29740650;29742418;29748418;29766949","29731354;29738441;29740730;29742480;29748571;29767011","-;-;-;-;-;-",872,"chr22",29730955,29767011,"NM_001318129",0,"-",29731224,29748544,0,6,"399,112,81,63,154,63,","0,7374,9694,11462,17462,35993,",36056,29766511,29767511,29731455,29766011,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ZMAT5"
"5858","NM_001318151",349.091517577027,0.448924500819819,0.187823395054577,2.39014155126614,0.0168418802741055,0.126505401809462,"NM_001318151",69417,"chr22;chr22;chr22;chr22","19432545;19433265;19434736;19435638","19432859;19433348;19434894;19436073","+;+;+;+",994,"chr22",19432544,19436073,"NM_001318151",0,"+",19433343,19435962,0,4,"315,84,159,436,","0,720,2191,3093,",3529,19432044,19433044,19433544,19435573,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"MRPL40"
"5872","NM_001318251",5.77872350175301,0.869829857312317,0.892489344513198,0.974610915704276,0.329753296950003,0.689733297750919,"NM_001318251",69340,"chr22;chr22;chr22;chr22","16783416;16799771;16807739;16821607","16784409;16800024;16808086;16821699","-;-;-;-",1689,"chr22",16783415,16821699,"NM_001318251",0,"-",16783618,16808073,0,4,"994,254,348,93,","0,16355,24323,38191,",38284,16821199,16822199,16783915,16820699,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"XKR3"
"5876","NM_001318329",0.27761282167286,-1.4002188018197,4.1314398736889,-0.338917869950619,0.7346716020575,NA,"NM_001318329",69697,"chr22;chr22","27048144;27060109","27050116;27060518","-;-",2383,"chr22",27048143,27060518,"NM_001318329",0,"-",27050034,27060356,0,2,"1973,410,","0,11965,",12375,27060018,27061018,27048643,27059518,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"LOC284898"
"5882","NM_001318370",156.24534962852,0.259964149559762,0.301108996844004,0.863355636279582,0.387941963269742,0.736116273952702,"NM_001318370",69812,"chr22;chr22;chr22","30635815;30649160;30662060","30637069;30649253;30663299","+;+;+",2589,"chr22",30635814,30663299,"NM_001318370",0,"+",30636450,30649245,0,3,"1255,94,1240,","0,13345,26245,",27485,30635314,30636314,30636814,30662799,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"SLC35E4"
"6029","NM_001320480",251.762879474785,0.429198239107449,0.197549214575907,2.17261425224514,0.0298093623017427,0.187355675174912,"NM_001320480",68692,"chr21;chr21;chr21;chr21;chr21","37065364;37067262;37069552;37072434;37072848","37065712;37067380;37069624;37072537;37073158","-;-;-;-;-",956,"chr21",37065363,37073158,"NM_001320480",0,"-",37065581,37072515,0,5,"349,119,73,104,311,","0,1898,4188,7070,7484,",7795,37072658,37073658,37065863,37072158,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"PIGP"
"6030","NM_001320484",905.310870174623,0.0485789932480219,0.173107024416704,0.280629820838941,0.778994341051039,0.930192718676085,"NM_001320484",70364,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","50185913;50193027;50193576;50194340;50194900;50197241;50197437;50197823;50198075;50198345","50185976;50193093;50193654;50194506;50195040;50197351;50197588;50197995;50198186;50199594","+;+;+;+;+;+;+;+;+;+",2316,"chr22",50185912,50199594,"NM_001320484",0,"+",50193060,50198519,0,10,"64,67,79,167,141,111,152,173,112,1250,","0,7114,7663,8427,8987,11328,11524,11910,12162,12432,",13682,50185412,50186412,50186912,50199094,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"TRABD"
"6044","NM_001320618",628.552496417774,-0.0643669329370586,0.269620136750649,-0.238731920073858,0.811313463644908,0.940373064235606,"NM_001320618",68150,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","29536933;29555052;29561624;29576964;29581425;29587366;29591112;29598830;29642826;29651118;29654810;29672983;29689728;29939383","29537385;29555302;29561849;29577181;29581543;29587589;29591225;29598937;29642969;29651291;29654863;29673164;29689985;29939996","-;-;-;-;-;-;-;-;-;-;-;-;-;-",3139,"chr21",29536932,29939996,"NM_001320618",0,"-",29537229,29939500,0,14,"453,251,226,218,119,224,114,108,144,174,54,182,258,614,","0,18119,24691,40031,44492,50433,54179,61897,105893,114185,117877,136050,152795,402450,",403064,29939496,29940496,29537432,29938996,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"GRIK1"
"6048","NM_001320643",45.5659547830506,0.806630968825494,0.404887457888815,1.99223501027044,0.0463452785856588,0.249050488460792,"NM_001320643",68381,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","6111131;6112070;6112739;6116224;6116462;6116894;6117128;6117804;6118256;6118783;6119024;6119720;6120487;6121144;43414483;43417543;43418260;43419021;43419353;43419859;43420234;43421010;43421243;43421638;43421974;43425407;43426023;43427010","6111252;6112239;6112855;6116287;6116623;6117018;6117251;6118027;6118402;6118908;6119240;6120001;6120718;6123778;43417117;43417774;43418541;43419237;43419478;43420005;43420457;43421133;43421367;43421799;43422037;43425523;43426192;43427131","+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-",9494,"chr21",6111130,6123778,"NM_001320643",0,"+",6112083,6121519,0,14,"122,170,117,64,162,125,124,224,147,126,217,282,232,2635,","0,939,1608,5093,5331,5763,5997,6673,7125,7652,7893,8589,9356,10013,",12648,6110630,6111630,6112130,6123278,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"SIK1B"
"6049","NM_001320643",45.5659547830506,0.806630968825494,0.404887457888815,1.99223501027044,0.0463452785856588,0.249050488460792,"NM_001320643",68381,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","6111131;6112070;6112739;6116224;6116462;6116894;6117128;6117804;6118256;6118783;6119024;6119720;6120487;6121144;43414483;43417543;43418260;43419021;43419353;43419859;43420234;43421010;43421243;43421638;43421974;43425407;43426023;43427010","6111252;6112239;6112855;6116287;6116623;6117018;6117251;6118027;6118402;6118908;6119240;6120001;6120718;6123778;43417117;43417774;43418541;43419237;43419478;43420005;43420457;43421133;43421367;43421799;43422037;43425523;43426192;43427131","+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-",9494,"chr21",6111130,6123778,"NM_001320643",0,"+",6112083,6121519,0,14,"122,170,117,64,162,125,124,224,147,126,217,282,232,2635,","0,939,1608,5093,5331,5763,5997,6673,7125,7652,7893,8589,9356,10013,",12648,6110630,6111630,6112130,6123278,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"SIK1B"
"6050","NM_001320651",125.764217708103,0.64774478250731,0.233033969076988,2.7796152855866,0.00544233317032402,0.0558576167079573,"NM_001320651",68394,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","6484623;6486138;6486322;6487107;6487363;6492131;6493044;6495993;6499129;43092956;43094471;43094655;43095438;43095694;43100453;43101366;43104315;43107451","6484916;6486230;6486455;6487205;6487412;6492197;6493110;6496080;6499284;43093249;43094563;43094788;43095536;43095743;43100519;43101432;43104402;43107606","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",2096,"chr21",43092955,43107606,"NM_001320651",0,"-",43093101,43095723,0,9,"294,93,134,99,50,67,67,88,156,","0,1515,1699,2482,2738,7497,8410,11359,14495,",14651,43107106,43108106,43093455,43106606,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"U2AF1L5"
"6051","NM_001320651",125.764217708103,0.64774478250731,0.233033969076988,2.7796152855866,0.00544233317032402,0.0558576167079573,"NM_001320651",68394,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","6484623;6486138;6486322;6487107;6487363;6492131;6493044;6495993;6499129;43092956;43094471;43094655;43095438;43095694;43100453;43101366;43104315;43107451","6484916;6486230;6486455;6487205;6487412;6492197;6493110;6496080;6499284;43093249;43094563;43094788;43095536;43095743;43100519;43101432;43104402;43107606","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",2096,"chr21",43092955,43107606,"NM_001320651",0,"-",43093101,43095723,0,9,"294,93,134,99,50,67,67,88,156,","0,1515,1699,2482,2738,7497,8410,11359,14495,",14651,43107106,43108106,43093455,43106606,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"U2AF1L5"
"6061","NM_001320714",449.109537632024,0.347447429568726,0.196293842075681,1.7700373373647,0.0767209210351373,0.335340822036164,"NM_001320714",68190,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","36156782;36164708;36199070;36200331;36208715;36211553;36211974;36214081;36214442;36219372;36223231;36225565;36227686;36230450;36232804;36237262;36238601;36239765;36245048;36247517;36248380;36251162;36253772;36260677;36263546;36263748;36270013;36277021;36277975;36278209;36280285;36281483;36288014;36288756;36289045;36292104;36293320","36156943;36164871;36199251;36200501;36208904;36211651;36212097;36214190;36214556;36219492;36223350;36225667;36227877;36231134;36233075;36237414;36238701;36239955;36246677;36247628;36248568;36251284;36253909;36260732;36263650;36263814;36270157;36277100;36278084;36278355;36280346;36281611;36288150;36288811;36289206;36292233;36294274","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",7788,"chr21",36156781,36294274,"NM_001320714",0,"+",36164733,36293571,0,37,"162,164,182,171,190,99,124,110,115,121,120,103,192,685,272,153,101,191,1630,112,189,123,138,56,105,67,145,80,110,147,62,129,137,56,162,130,955,","0,7926,42288,43549,51933,54771,55192,57299,57660,62590,66449,68783,70904,73668,76022,80480,81819,82983,88266,90735,91598,94380,96990,103895,106764,106966,113231,120239,121193,121427,123503,124701,131232,131974,132263,135322,136538,",137493,36156281,36157281,36157781,36293774,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"DOP1B"
"6062","NM_001320724",330.592534256591,0.774174120664212,0.184162600616578,4.20375319458061,2.62525184605727e-05,0.000730521813202372,"NM_001320724",68541,"chr21;chr21;chr21;chr21;chr21;chr21","29005759;29007761;29008240;29008395;29009595;29019211","29006651;29008123;29008307;29008621;29009692;29019371","-;-;-;-;-;-",1810,"chr21",29005758,29019371,"NM_001320724",0,"-",29006416,29008601,0,6,"893,363,68,227,98,161,","0,2002,2481,2636,3836,13452,",13613,29018871,29019871,29006258,29018371,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"RWDD2B"
"6065","NM_001320745",15.566541907953,0.621756317283091,0.516859511170347,1.20295032566049,0.228995543840591,0.594421072889965,"NM_001320745",68027,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","32411723;32453312;32457597;32467696;32495027;32501415;32503926;32514814","32412193;32453508;32457720;32467848;32495170;32501495;32504015;32515387","+;+;+;+;+;+;+;+",1834,"chr21",32411722,32515387,"NM_001320745",0,"+",32453436,32515190,0,8,"471,197,124,153,144,81,90,574,","0,41589,45874,55973,83304,89692,92203,103091,",103665,32411222,32412222,32412722,32514887,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"EVA1C"
"6066","NM_001320746",10.800409660535,0.175702507607808,0.587644799148925,0.298994405910296,0.764944313870687,0.923699799634018,"NM_001320746",68637,"chr21;chr21;chr21_GL383581v2_alt;chr21_GL383581v2_alt","33488055;33491625;92184;95755","33489424;33491723;93553;95853","-;-;-;-",2938,"chr21",33488054,33491723,"NM_001320746",0,"-",33488226,33489393,0,2,"1370,99,","0,3570,",3669,33491223,33492223,33488554,33490723,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"DNAJC28"
"6067","NM_001320746",10.800409660535,0.175702507607808,0.587644799148925,0.298994405910296,0.764944313870687,0.923699799634018,"NM_001320746",68637,"chr21;chr21;chr21_GL383581v2_alt;chr21_GL383581v2_alt","33488055;33491625;92184;95755","33489424;33491723;93553;95853","-;-;-;-",2938,"chr21",33488054,33491723,"NM_001320746",0,"-",33488226,33489393,0,2,"1370,99,","0,3570,",3669,33491223,33492223,33488554,33490723,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"DNAJC28"
"6209","NM_001322036",98.1904441408689,-0.313400194127,0.257449193758499,-1.21732831846032,0.223479323978361,0.587090176078377,"NM_001322036",68057,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5553637;5585823;5590019;7048859;7081049;7085245;7430637;7462827;7467023;6228966;6234983;6267135","5553838;5585987;5592004;7049060;7081213;7087230;7430838;7462991;7469008;6230951;6235147;6267336","+;+;+;+;+;+;+;+;+;-;-;-",9412,"chr21",7048858,7087230,"NM_001322036",0,"+",7081050,7085444,0,3,"202,165,1986,","0,32190,36386,",38372,7048358,7049358,7049858,7086730,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LOC102724951"
"6210","NM_001322036",98.1904441408689,-0.313400194127,0.257449193758499,-1.21732831846032,0.223479323978361,0.587090176078377,"NM_001322036",68057,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5553637;5585823;5590019;7048859;7081049;7085245;7430637;7462827;7467023;6228966;6234983;6267135","5553838;5585987;5592004;7049060;7081213;7087230;7430838;7462991;7469008;6230951;6235147;6267336","+;+;+;+;+;+;+;+;+;-;-;-",9412,"chr21",7048858,7087230,"NM_001322036",0,"+",7081050,7085444,0,3,"202,165,1986,","0,32190,36386,",38372,7048358,7049358,7049858,7086730,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LOC102724951"
"6211","NM_001322036",98.1904441408689,-0.313400194127,0.257449193758499,-1.21732831846032,0.223479323978361,0.587090176078377,"NM_001322036",68057,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5553637;5585823;5590019;7048859;7081049;7085245;7430637;7462827;7467023;6228966;6234983;6267135","5553838;5585987;5592004;7049060;7081213;7087230;7430838;7462991;7469008;6230951;6235147;6267336","+;+;+;+;+;+;+;+;+;-;-;-",9412,"chr21",7048858,7087230,"NM_001322036",0,"+",7081050,7085444,0,3,"202,165,1986,","0,32190,36386,",38372,7048358,7049358,7049858,7086730,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LOC102724951"
"6212","NM_001322036",98.1904441408689,-0.313400194127,0.257449193758499,-1.21732831846032,0.223479323978361,0.587090176078377,"NM_001322036",68057,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5553637;5585823;5590019;7048859;7081049;7085245;7430637;7462827;7467023;6228966;6234983;6267135","5553838;5585987;5592004;7049060;7081213;7087230;7430838;7462991;7469008;6230951;6235147;6267336","+;+;+;+;+;+;+;+;+;-;-;-",9412,"chr21",7048858,7087230,"NM_001322036",0,"+",7081050,7085444,0,3,"202,165,1986,","0,32190,36386,",38372,7048358,7049358,7049858,7086730,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LOC102724951"
"6214","NM_001322044",98.1904441408689,-0.313400194127,0.257449193758499,-1.21732831846032,0.223479323978361,0.587090176078377,"NM_001322044",68056,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5553637;5585823;5590019;7048859;7081049;7085245;7430637;7462827;7467023;6228966;6234983;6267135","5553838;5585987;5592004;7049060;7081213;7087230;7430838;7462991;7469008;6230951;6235147;6267336","+;+;+;+;+;+;+;+;+;-;-;-",9412,"chr21",5553636,5592004,"NM_001322044",0,"+",5585824,5590218,0,3,"202,165,1986,","0,32186,36382,",38368,5553136,5554136,5554636,5591504,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LOC102724219"
"6215","NM_001322044",98.1904441408689,-0.313400194127,0.257449193758499,-1.21732831846032,0.223479323978361,0.587090176078377,"NM_001322044",68056,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5553637;5585823;5590019;7048859;7081049;7085245;7430637;7462827;7467023;6228966;6234983;6267135","5553838;5585987;5592004;7049060;7081213;7087230;7430838;7462991;7469008;6230951;6235147;6267336","+;+;+;+;+;+;+;+;+;-;-;-",9412,"chr21",5553636,5592004,"NM_001322044",0,"+",5585824,5590218,0,3,"202,165,1986,","0,32186,36382,",38368,5553136,5554136,5554636,5591504,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LOC102724219"
"6216","NM_001322044",98.1904441408689,-0.313400194127,0.257449193758499,-1.21732831846032,0.223479323978361,0.587090176078377,"NM_001322044",68056,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5553637;5585823;5590019;7048859;7081049;7085245;7430637;7462827;7467023;6228966;6234983;6267135","5553838;5585987;5592004;7049060;7081213;7087230;7430838;7462991;7469008;6230951;6235147;6267336","+;+;+;+;+;+;+;+;+;-;-;-",9412,"chr21",5553636,5592004,"NM_001322044",0,"+",5585824,5590218,0,3,"202,165,1986,","0,32186,36382,",38368,5553136,5554136,5554636,5591504,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LOC102724219"
"6217","NM_001322044",98.1904441408689,-0.313400194127,0.257449193758499,-1.21732831846032,0.223479323978361,0.587090176078377,"NM_001322044",68056,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5553637;5585823;5590019;7048859;7081049;7085245;7430637;7462827;7467023;6228966;6234983;6267135","5553838;5585987;5592004;7049060;7081213;7087230;7430838;7462991;7469008;6230951;6235147;6267336","+;+;+;+;+;+;+;+;+;-;-;-",9412,"chr21",5553636,5592004,"NM_001322044",0,"+",5585824,5590218,0,3,"202,165,1986,","0,32186,36382,",38368,5553136,5554136,5554636,5591504,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LOC102724219"
"6218","NM_001322047",98.1904441408689,-0.313400194127,0.257449193758499,-1.21732831846032,0.223479323978361,0.587090176078377,"NM_001322047",68054,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5553637;5585823;5590019;7048859;7081049;7085245;7430637;7462827;7467023;6228966;6234983;6267135","5553838;5585987;5592004;7049060;7081213;7087230;7430838;7462991;7469008;6230951;6235147;6267336","+;+;+;+;+;+;+;+;+;-;-;-",9412,"chr21",6228965,6267336,"NM_001322047",0,"-",6230751,6235145,0,3,"1986,165,202,","0,6017,38169,",38371,6266836,6267836,6229465,6266336,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LOC102724843"
"6219","NM_001322047",98.1904441408689,-0.313400194127,0.257449193758499,-1.21732831846032,0.223479323978361,0.587090176078377,"NM_001322047",68054,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","5553637;5585823;5590019;7048859;7081049;7085245;7430637;7462827;7467023;6228966;6234983;6267135","5553838;5585987;5592004;7049060;7081213;7087230;7430838;7462991;7469008;6230951;6235147;6267336","+;+;+;+;+;+;+;+;+;-;-;-",9412,"chr21",6228965,6267336,"NM_001322047",0,"-",6230751,6235145,0,3,"1986,165,202,","0,6017,38169,",38371,6266836,6267836,6229465,6266336,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"LOC102724843"
